[ "3" , "-" , "2" , "-" , "-" , "-" , "5" , "=" , "4" , "0" , "1" ]
[ "$" , "2" , "-" , "3" , "=" , "4" , "$" , "0" , "$" , "0" , "|" ]
[ "$" , "|" , "3" , "=" , "4" , "$" , "$" , "0" , "$" , "1" , "|" ]
[ "$" , "|" , "|" , "0" , "$" , "$" , "$" , "0" , "$" , "|" , "|" ]
[ "$" , "|" , "|" , "0" , "2" , "$" , "$" , "0" , "$" , "|" , "|" ]
[ "$" , "2" , "|" , "0" , "0" , "2" , "$" , "0" , "2" , "|" , "|" ]
[ "$" , "|" , "3" , "-" , "-" , "-" , "5" , "-" , "-" , "4" , "|" ]
[ "$" , "|" , "|" , "0" , "0" , "0" , "|" , "0" , "0" , "$" , "|" ]
[ "3" , "|" , "1" , "0" , "0" , "0" , "|" , "0" , "0" , "2" , "|" ]
[ "|" , "2" , "-" , "-" , "-" , "-" , "3" , "-" , "3" , "=" , "3" ]
[ "2" , "-" , "3" , "=" , "=" , "4" , "=" , "3" , "-" , "1" , "0" ]
